source_platform,source_venue_id,venue_name,venue_url,menu_section,item_name,item_description,raw_price,normalized_price_eur,currency,price_type,item_type,normalized_product,confidence,allergens,retrieved_at,source_url
other,woodstock,Woodstock,https://www.qodeup.com/woodstock,Birre senza glutine (4),"Woodstock pils 45  (gluten free)  alla spina  4,5° alc. Italia","Birra cruda, senza glutine, artigianale classica pilsner di colore oro pallido. Accostandosi al cali...",€ 4.00,4.0,EUR,menu,drink,beer_draft,high,,2026-05-31T13:16:11Z,https://www.qodeup.com/woodstock
other,woodstock,Woodstock,https://www.qodeup.com/woodstock,Birre analcoliche (8),"Heineken ANALCOLICA 0,0° Olanda","I nostri mastri birrai hanno impiegato anni nella scoperta, preparazione e degustazione della birra ...",€ 4.00,4.0,EUR,menu,drink,beer_heineken,high,,2026-05-31T13:16:11Z,https://www.qodeup.com/woodstock
other,woodstock,Woodstock,https://www.qodeup.com/woodstock,COCKTAILS APERITIVO (12),Spritz Aperol,con prosecco e soda,€ 6.00,6.0,EUR,menu,drink,spritz,high,,2026-05-31T13:16:11Z,https://www.qodeup.com/woodstock
other,woodstock,Woodstock,https://www.qodeup.com/woodstock,COCKTAILS APERITIVO (12),Cedro Spritz,"Liquore acqua di cedro, prosecco e soda",€ 7.00,7.0,EUR,menu,drink,spritz,high,,2026-05-31T13:16:11Z,https://www.qodeup.com/woodstock
other,woodstock,Woodstock,https://www.qodeup.com/woodstock,COCKTAILS APERITIVO (12),Americano,"Vermouth rosso, Campari e Soda.",€ 9.00,9.0,EUR,menu,drink,americano,high,,2026-05-31T13:16:11Z,https://www.qodeup.com/woodstock
other,woodstock,Woodstock,https://www.qodeup.com/woodstock,COCKTAILS APERITIVO (12),Negroni,"Gin, Vermouth e Campari.",€ 9.00,9.0,EUR,menu,drink,negroni,high,,2026-05-31T13:16:11Z,https://www.qodeup.com/woodstock
other,woodstock,Woodstock,https://www.qodeup.com/woodstock,I COCKTAILS FOREVER AND EVER (12),Mojito,"Rhum chiaro e scuro, foglie di menta, lime, zucchero di canna, soda e ghiaccio a scaglie",€ 9.00,9.0,EUR,menu,drink,mojito,high,,2026-05-31T13:16:11Z,https://www.qodeup.com/woodstock
other,woodstock,Woodstock,https://www.qodeup.com/woodstock,I COCKTAILS FOREVER AND EVER (12),Daiquiri,"rum bianco, succo di limone e sciroppo di zucchero",€ 9.00,9.0,EUR,menu,drink,daiquiri,high,,2026-05-31T13:16:11Z,https://www.qodeup.com/woodstock
other,woodstock,Woodstock,https://www.qodeup.com/woodstock,I COCKTAILS FOREVER AND EVER (12),Margarita,"Tequila, triple sec, succo limone sale.",€ 9.00,9.0,EUR,menu,drink,margarita,high,,2026-05-31T13:16:11Z,https://www.qodeup.com/woodstock
other,woodstock,Woodstock,https://www.qodeup.com/woodstock,I COCKTAILS FOREVER AND EVER (12),Moscow mule,"Vodka, ginger beer, lime.",€ 9.00,9.0,EUR,menu,drink,moscow_mule,high,,2026-05-31T13:16:11Z,https://www.qodeup.com/woodstock
other,woodstock,Woodstock,https://www.qodeup.com/woodstock,I DRINK DEL BARMAN (5),Pichichi mojito,"Lime, menta, zucchero grezzo, tequila, crema de casis,  Ginger ale, gocce di Angostura",€ 11.00,11.0,EUR,menu,drink,mojito,high,,2026-05-31T13:16:11Z,https://www.qodeup.com/woodstock
other,woodstock,Woodstock,https://www.qodeup.com/woodstock,GLI ANALCOLICI (4),"Gin tonic analcolico con Tanqueray 0,0° alc.",,€ 8.00,8.0,EUR,menu,drink,gin_tonic,high,,2026-05-31T13:16:11Z,https://www.qodeup.com/woodstock
